"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","formation","geological_group","member","lithdescript","lithology1","lithification1","minor_lithology1","lithology2","lithification2","minor_lithology2","environment","tectonic_setting","geology_comments"
"392719","occ","","","22689","Pterosauria indet.","order","","","Pterosauria","order","38461","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","Pterosauria","","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392720","occ","","","22689","Crocodylia indet.","unranked clade","38309","","Crocodylia","unranked clade","36582","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","Crocodylia","","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392721","occ","","","22689","Champsosauridae indet.","family","","","Champsosauridae","family","37785","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","Choristodera","Champsosauridae","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392722","occ","","","22689","Squamata indet.","unranked clade","","","Squamata","unranked clade","36379","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","Squamata","","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392723","occ","","","22689","Mammalia indet.","class","","","Mammalia","class","36651","Late Campanian","","83.6","72.2","9812","Chordata","Mammalia","","","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392724","occ","","","22689","Basilemys sp.","genus","","","Basilemys","genus","37655","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","Testudines","Nanhsiungchelyidae","Basilemys","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392725","occ","","","22689","Chelydridae indet.","family","","","Chelydridae","family","37704","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","Testudines","Chelydridae","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392726","occ","","","22689","Chelonia indet.","order","36325","species not entered","Testudines","order","56475","Late Campanian","","83.6","72.2","9812","Chordata","Reptilia","Testudines","","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392727","occ","","","22689","Amphibia indet.","class","","","Amphibia","class","36319","Late Campanian","","83.6","72.2","9812","Chordata","Amphibia","","","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
"392728","occ","","","22689","Ceratopsia indet.","unranked clade","","","Ceratopsia","unranked clade","38842","Late Campanian","","83.6","72.2","9812","Chordata","Ornithischia","","","","-113.750000","48.633301","Two Medicine","Montana","Flag Butte","ETE rock type adj: silty","mudstone","","silty","","","","lacustrine indet.","","ETE sed env 1: lacustrine, ETE sed env 2: floodplain ETE env comment: drought - ""lake shoreline"""
